,region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
78,Burgas_BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,13.0,12.0,14.0,12.0,13.0,12.0,13.0,11.0,18.0,13.0
79,Burgenland_AT,8.0,9.0,14.0,16.0,20.0,15.0,19.0,18.0,23.0,22.0,22.0,21.0,20.0,12.0,22.0,39.0,53.0,77.0,90.0,108.0,119.0,107.0,102.0,107.0,101.0,91.0,117.0,118.0,133.0,122.0,116.0
80,Bursa_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,7.0,8.0,13.0,13.0,25.0,26.0,33.0,51.0,59.0,62.0,106.0,133.0
81,Buryat_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,22.0,30.0,30.0,13.0
82,Busan_KR,9.0,12.0,21.0,23.0,20.0,28.0,29.0,30.0,47.0,96.0,227.0,384.0,691.0,985.0,1667.0,2788.0,4659.0,6084.0,7825.0,9073.0,8882.0,7961.0,8869.0,10393.0,10637.0,11990.0,15405.0,17827.0,19662.0,22874.0,26597.0
83,Buskerud_NO,56.0,64.0,76.0,84.0,94.0,78.0,73.0,56.0,35.0,18.0,19.0,23.0,32.0,31.0,38.0,39.0,42.0,35.0,39.0,50.0,74.0,89.0,97.0,111.0,116.0,135.0,145.0,170.0,182.0,174.0,167.0
84,Buzău_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,8.0,0.0,0.0,0.0
85,Bács-Kiskun_HU,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,13.0,13.0,18.0,15.0,8.0,10.0,12.0,6.0,10.0,11.0,13.0,15.0,19.0,17.0,16.0
86,Békés_HU,0.0,6.0,9.0,9.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,11.0,16.0
87,Bío-Bío_CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,14.0,24.0,34.0,37.0,36.0,33.0,34.0
88,Calabria_IT,0.0,8.0,10.0,10.0,9.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,19.0,20.0,19.0,26.0,26.0,14.0,18.0,23.0,25.0,37.0,52.0,73.0,75.0,80.0,88.0,78.0,56.0
89,California_US,45389.0,46945.0,49222.0,51628.0,55037.0,58246.0,61659.0,65531.0,71938.0,78734.0,87576.0,100124.0,112282.0,126295.0,141327.0,157059.0,172077.0,192806.0,209466.0,219901.0,224851.0,225886.0,223752.0,225708.0,234431.0,246203.0,263138.0,285537.0,314981.0,347710.0,378314.0
90,Campania_IT,52.0,61.0,75.0,73.0,87.0,79.0,82.0,69.0,57.0,50.0,56.0,54.0,60.0,70.0,74.0,82.0,92.0,110.0,111.0,117.0,125.0,165.0,187.0,225.0,283.0,308.0,287.0,271.0,245.0,189.0,160.0
91,Campeche_MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,0.0,0.0
92,Cantabria_ES,7.0,12.0,8.0,10.0,8.0,10.0,10.0,13.0,11.0,14.0,13.0,10.0,7.0,7.0,5.0,7.0,10.0,22.0,39.0,43.0,48.0,53.0,71.0,64.0,78.0,108.0,113.0,107.0,114.0,113.0,86.0
93,Canterbury_NZ,29.0,38.0,40.0,38.0,45.0,26.0,28.0,28.0,35.0,35.0,43.0,43.0,42.0,46.0,57.0,73.0,82.0,117.0,149.0,169.0,211.0,259.0,300.0,388.0,446.0,480.0,527.0,541.0,482.0,433.0,372.0
94,Carlow_IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,16.0,17.0,19.0,12.0,10.0,15.0,11.0,16.0,29.0,33.0,33.0
